,, LAr Corrected, LRecorded,Gain,Events,NewLumi
2015Periods,D,51.6461,51672.1,,,0.08
2015Periods,E,435.605,435.713,,,0.48
2015Periods,F,301.693,301.717,,,0.35
2015Periods,G,724.399,724.599,,,0.79
2015Periods,H,264.362,264.392,,,0.53
2015Periods,J,1435.25,1435.68,,,1.6
2016Periods,A,546.662,546.687,,,0.62
2016Periods,B,1953.02,1953.58,,,1.5
2016Periods,C,2870.44,2871.15,,,2.51
2016Periods,D,4631.2,4634.98,,,3.99
2016Periods,E,1485.63,1486.33,,,1.98
2016Periods,F,3405.04,3412.6,,,2.49
2016Periods,G,3834.73,3837.8,,,2.74
2016Periods,I,5803.62,5809.31,,,4.1
2016Periods,K,2209.03,2218.14,,,1.8
2016Periods,L,6145.21,6164.91,,,4.31
