Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
276262, 297, 0, 6637.817000, 6167.331000, 6166.897000, 6166.897000, 92.91, 99.99, 100.00
276329, 412, 0, 12440.400000, 11707.500000, 11706.500000, 11706.500000, 94.11, 99.99, 100.00
276336, 31, 0, 729.432000, 673.966000, 673.924000, 673.924000, 92.40, 99.99, 100.00
276416, 110, 0, 4393.800000, 4218.680000, 4212.790000, 4212.790000, 96.01, 99.86, 100.00
276511, 292, 0, 9061.650000, 8771.950000, 8766.040000, 8766.040000, 96.80, 99.93, 100.00
276689, 266, 0, 10984.871000, 10667.832000, 10656.495000, 10656.495000, 97.11, 99.89, 100.00
276778, 17, 0, 727.232000, 657.565000, 657.529000, 657.529000, 90.42, 99.99, 100.00
276790, 36, 0, 1768.350000, 1595.760000, 1595.350000, 1595.350000, 90.24, 99.97, 100.00
276952, 140, 0, 7048.590000, 6478.110000, 6477.310000, 6477.310000, 91.91, 99.99, 100.00
276954, 17, 0, 847.262000, 733.364000, 733.290000, 733.290000, 86.56, 99.99, 100.00
Total, 1618, 0, 54639.400000, 51672.100000, 51646.100000, 51646.100000, 94.57, 99.95, 100.00
