Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
297730, 416, 0, 3.838099, 3.333345, 3.333067, 3.333067, 86.85, 99.99, 100.00
298595, 38, 0, 0.337756, 0.288919, 0.288880, 0.288880, 85.54, 99.99, 100.00
298609, 267, 0, 2.190758, 1.928731, 1.928717, 1.928717, 88.04, 100.00, 100.00
298633, 640, 0, 6.236033, 5.843636, 5.843636, 5.843636, 93.71, 100.00, 100.00
298687, 452, 0, 21.470620, 20.577213, 20.576313, 20.576313, 95.84, 100.00, 100.00
298690, 25, 0, 1.492020, 1.414700, 1.414700, 1.414700, 94.82, 100.00, 100.00
298771, 153, 0, 8.459880, 7.964030, 7.963740, 7.963740, 94.14, 100.00, 100.00
298773, 150, 0, 8.774320, 7.751610, 7.751460, 7.751460, 88.34, 100.00, 100.00
298862, 474, 0, 25.219552, 23.525315, 23.525115, 23.525115, 93.28, 100.00, 100.00
298967, 560, 0, 55.489400, 53.443400, 53.440300, 53.440300, 96.31, 99.99, 100.00
299055, 465, 6, 45.567564, 44.431110, 44.430110, 43.914810, 97.51, 100.00, 101.17
299144, 362, 0, 30.502500, 29.723000, 29.722500, 29.722500, 97.44, 100.00, 100.00
299147, 248, 0, 23.857921, 23.176610, 23.176020, 23.176020, 97.14, 100.00, 100.00
299184, 696, 0, 94.321084, 90.992708, 90.987458, 90.987458, 96.47, 99.99, 100.00
299243, 55, 0, 6.040120, 5.857890, 5.857890, 5.857890, 96.98, 100.00, 100.00
299584, 1973, 0, 227.704621, 221.206103, 221.194383, 221.194383, 97.15, 99.99, 100.00
300279, 58, 0, 5.896254, 5.227597, 5.227037, 5.227037, 88.66, 99.99, 100.00
Total, 7032, 6, 567.399000, 546.687000, 546.662000, 546.147000, 96.35, 100.00, 100.09
