Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
303943, 1354, 0, 487.640039, 462.766178, 462.478129, 354.002427, 94.90, 99.94, 130.64
304006, 329, 0, 160.370243, 150.943782, 146.024595, 56.240759, 94.12, 96.74, 259.64
304008, 1288, 0, 486.988931, 466.342408, 465.976339, 345.136616, 95.76, 99.92, 135.01
304128, 1644, 0, 574.335483, 545.786117, 545.181171, 404.786652, 95.03, 99.89, 134.68
304178, 1154, 0, 447.515371, 422.862025, 422.372498, 321.851133, 94.49, 99.88, 131.23
304198, 368, 0, 171.670330, 158.027620, 157.806980, 72.399370, 92.05, 99.86, 217.97
304211, 278, 0, 135.136470, 125.378330, 125.247290, 49.529328, 92.78, 99.90, 252.88
304243, 1024, 0, 369.384910, 352.543506, 352.398556, 322.358086, 95.44, 99.96, 109.32
304308, 53, 0, 28.905900, 28.022200, 28.006100, 5.601220, 96.94, 99.94, 500.00
304337, 1038, 0, 433.831100, 406.083999, 405.893589, 297.247809, 93.60, 99.95, 136.55
304409, 193, 0, 104.090410, 95.353470, 95.290590, 19.058115, 91.61, 99.93, 500.00
304431, 279, 0, 149.684800, 142.363300, 142.290800, 28.458160, 95.11, 99.95, 500.00
304494, 106, 0, 58.715200, 56.122300, 56.073100, 11.214620, 95.58, 99.91, 500.00
Total, 9108, 0, 3608.280000, 3412.600000, 3405.040000, 2287.880000, 94.58, 99.78, 148.83
