Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
305380, 668, 0, 329.513359, 315.009253, 314.812236, 159.569763, 95.60, 99.94, 197.29
305543, 629, 0, 190.560440, 183.111640, 183.069870, 183.069870, 96.09, 99.98, 100.00
305571, 39, 0, 19.501096, 18.089027, 18.081331, 3.616268, 92.76, 99.96, 500.00
305618, 787, 0, 314.337750, 304.001550, 302.935670, 228.396990, 96.71, 99.65, 132.64
305671, 50, 0, 26.769000, 25.561100, 25.557200, 5.111450, 95.49, 99.98, 500.00
305674, 37, 0, 19.340300, 18.323100, 18.319200, 3.663830, 94.74, 99.98, 500.00
305723, 703, 0, 297.811341, 274.046216, 273.642726, 173.950015, 92.02, 99.85, 157.31
305727, 243, 0, 69.490130, 66.949281, 66.938028, 66.938028, 96.34, 99.98, 100.00
305735, 268, 0, 129.976600, 123.639400, 123.592100, 41.283100, 95.12, 99.96, 299.38
305777, 808, 0, 328.108372, 315.010695, 314.870246, 228.390616, 96.01, 99.96, 137.86
305811, 622, 0, 277.936850, 268.293770, 268.176300, 120.182920, 96.53, 99.96, 223.14
305920, 573, 0, 263.158020, 254.621170, 254.499320, 145.718208, 96.76, 99.95, 174.65
306269, 320, 0, 162.133700, 156.047600, 155.935000, 45.522390, 96.25, 99.93, 342.55
306278, 1001, 0, 400.361134, 386.129713, 386.020394, 272.377345, 96.45, 99.97, 141.72
306310, 1088, 0, 395.100600, 384.412900, 384.258200, 277.087700, 97.29, 99.96, 138.68
306384, 539, 0, 200.952420, 194.503100, 194.370990, 180.641013, 96.79, 99.93, 107.60
306419, 162, 0, 92.561652, 89.902462, 89.816596, 17.963349, 97.13, 99.90, 500.00
306442, 52, 0, 31.945824, 30.561442, 30.532015, 6.106404, 95.67, 99.90, 500.00
306448, 212, 0, 109.977540, 103.597680, 103.518910, 20.703730, 94.20, 99.92, 500.00
306451, 762, 0, 337.609730, 325.984730, 325.780550, 197.116800, 96.56, 99.94, 165.27
Total, 9563, 0, 3997.140000, 3837.800000, 3834.730000, 2377.410000, 96.01, 99.92, 161.30
