 Triggers per period    (2015), Group , Tot Lumi ,A,C,D,E,F,G,H,I,J,,0
Tau,,,,,,,,,,,,,1
HLT_3mu6_bTau,Tau,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,2
HLT_3mu4_bTau,Tau,3.89,0.01,0.09,0.08,0.48,0.35,0.79,0.48,0,1.6,,3
Jpsi,,,,,,,,,,,,,4
HLT_2mu10_bJpsimumu,Jpsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,5
HLT_2mu10_bJpsimumu_noL2,Jpsi,3.84,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,14
HLT_2mu10_l2msonly_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,23
HLT_2mu4_bJpsimumu,Jpsi,3.17,0.01,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,17
HLT_2mu4_bJpsimumu_noL2,Jpsi,3.08,0,0,0.07,0.48,0.34,0.78,0.5,0,0.92,,18
HLT_2mu4_l2msonly_bJpsimumu_noL2,Jpsi,1.05,0,0,0.07,0.48,0.27,0.18,0.06,0,0,,26
HLT_2mu6_bJpsimumu,Jpsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,7
HLT_2mu6_bJpsimumu_noL2,Jpsi,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,16
HLT_2mu6_l2msonly_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,21
HLT_3mu4_bJpsi,Jpsi,3.89,0.01,0.09,0.08,0.48,0.35,0.79,0.48,0,1.6,,13
HLT_3mu6_bJpsi,Jpsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,8
HLT_mu10_mu10_l2msonly_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,24
HLT_mu18_2mu0noL1_JpsimumuFS,Jpsi,3.93,0,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,11
HLT_mu18_2mu4_JpsimumuL2,Jpsi,3.93,0,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,12
HLT_mu18_bJpsi_Trkloose,Jpsi,0.49,0,0.05,0.04,0.1,0.04,0.08,0.05,0,0.14,,28
HLT_mu20_2mu0noL1_JpsimumuFS,Jpsi,3.93,0,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,9
HLT_mu20_2mu4_JpsimumuL2,Jpsi,3.93,0,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,10
HLT_mu4_mu4_l2msonly_bJpsimumu_noL2,Jpsi,1.05,0,0,0.07,0.48,0.27,0.18,0.06,0,0,,27
HLT_mu6_l2msonly_mu4_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,19
HLT_mu6_l2msonly_mu4_l2msonly_bJpsimumu_noL2,Jpsi,1.09,0,0,0.08,0.48,0.27,0.18,0.06,0,0.02,,25
HLT_mu6_mu4_bJpsimumu,Jpsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,6
HLT_mu6_mu4_bJpsimumu_noL2,Jpsi,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,15
HLT_mu6_mu4_l2msonly_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,20
HLT_mu6_mu6_l2msonly_bJpsimumu_noL2,Jpsi,1.65,0,0,0.08,0.48,0.34,0.48,0.17,0,0.09,,22
Upsi,,,,,,,,,,,,,29
HLT_2mu10_bUpsimumu,Upsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,30
HLT_2mu4_bUpsimumu,Upsi,3.17,0.01,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,35
HLT_2mu6_bUpsimumu,Upsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,32
HLT_3mu4_bUpsi,Upsi,3.89,0.01,0.09,0.08,0.48,0.35,0.79,0.48,0,1.6,,34
HLT_3mu6_bUpsi,Upsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,33
HLT_mu6_mu4_bUpsimumu,Upsi,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,31
BcmumuDsloose,,,,,,,,,,,,,36
HLT_2mu10_bBmumux_BcmumuDsloose,BcmumuDsloose,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,37
HLT_2mu10_bBmumux_BcmumuDsloose_noL2,BcmumuDsloose,0.17,0,0,0,0,0,0,0,0,0.17,,44
HLT_2mu4_bBmumux_BcmumuDsloose,BcmumuDsloose,3.17,0,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,41
HLT_2mu6_bBmumux_BcmumuDsloose,BcmumuDsloose,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,39
HLT_2mu6_bBmumux_BcmumuDsloose_noL2,BcmumuDsloose,0.17,0,0,0,0,0,0,0,0,0.17,,42
HLT_mu10_mu6_bBmumux_BcmumuDsloose,BcmumuDsloose,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,40
HLT_mu10_mu6_bBmumux_BcmumuDsloose_noL2,BcmumuDsloose,0.17,0,0,0,0,0,0,0,0,0.17,,43
HLT_mu6_mu4_bBmumux_BcmumuDsloose,BcmumuDsloose,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,38
Bmumuxv2,,,,,,,,,,,,,45
HLT_2mu10_bBmumuxv2,Bmumuxv2,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,47
HLT_2mu10_bBmumuxv2_noL2,Bmumuxv2,0.17,0,0,0,0,0,0,0,0,0.17,,53
HLT_2mu4_bBmumuxv2,Bmumuxv2,3.17,0,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,50
HLT_2mu6_bBmumuxv2,Bmumuxv2,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,46
HLT_2mu6_bBmumuxv2_noL2,Bmumuxv2,0.17,0,0,0,0,0,0,0,0,0.17,,51
HLT_mu10_mu6_bBmumuxv2,Bmumuxv2,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,49
HLT_mu10_mu6_bBmumuxv2_noL2,Bmumuxv2,0.17,0,0,0,0,0,0,0,0,0.17,,52
HLT_mu6_mu4_bBmumuxv2,Bmumuxv2,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,48
Bmumu,,,,,,,,,,,,,54
HLT_2mu10_bBmumu,Bmumu,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,55
HLT_2mu10_bBmumux_BpmumuKp,Bmumu,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,59
HLT_2mu10_bBmumux_BpmumuKp_noL2,Bmumu,0.17,0,0,0,0,0,0,0,0,0.17,,66
HLT_2mu4_bBmumu,Bmumu,3.17,0.01,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,62
HLT_2mu4_bBmumux_BpmumuKp,Bmumu,3.17,0,0.09,0.07,0.48,0.34,0.78,0.5,0,0.92,,63
HLT_2mu6_bBmumu,Bmumu,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,57
HLT_2mu6_bBmumux_BpmumuKp,Bmumu,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,58
HLT_2mu6_bBmumux_BpmumuKp_noL2,Bmumu,0.17,0,0,0,0,0,0,0,0,0.17,,64
HLT_mu10_mu6_bBmumux_BpmumuKp,Bmumu,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,61
HLT_mu10_mu6_bBmumux_BpmumuKp_noL2,Bmumu,0.17,0,0,0,0,0,0,0,0,0.17,,65
HLT_mu6_mu4_bBmumu,Bmumu,3.93,0.01,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,56
HLT_mu6_mu4_bBmumux_BpmumuKp,Bmumu,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,60
nscan,,,,,,,,,,,,,67
HLT_mu11_2mu4noL1_nscan03_L1MU10_2MU6,nscan,0.19,0.01,0.09,0.08,0.01,0,0,0,0,0,,74
HLT_mu11_2mu4noL1_nscan03_L1MU11_2MU6,nscan,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,70
HLT_mu11_L1MU10_2mu4noL1_nscan03_L1MU10_2MU6,nscan,3.56,0,0,0,0.48,0.35,0.79,0.44,0,1.51,,71
HLT_mu11_llns_2mu4noL1_nscan03_L1MU11_2MU6,nscan,1.56,0,0,0,0,0,0,0,0,1.56,,73
HLT_mu20_llns_mu6noL1_nscan03,nscan,1.56,0,0,0,0,0,0,0,0,1.56,,72
HLT_mu20_msonly_mu6noL1_msonly_nscan05,nscan,3.93,0.01,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,68
HLT_mu20_msonly_mu6noL1_msonly_nscan05_L1MU4_UNPAIRED_ISO,nscan,0.16,0,0,0.01,0.05,0.03,0.03,0.01,0,0.03,,75
HLT_mu20_mu6noL1_nscan03,nscan,3.93,0,0.09,0.08,0.49,0.35,0.79,0.53,0,1.6,,69
invm,,,,,,,,,,,,,76
HLT_mu6_2j40_0eta490_invm1000_L1MU6_J30.0ETA49_2J20.0ETA49,invm,3.93,0,0.09,0.08,0.48,0.35,0.79,0.53,0,1.6,,77
HLT_2mu6_10invm30_pt2_z10,invm,3.83,0,0,0.08,0.48,0.35,0.79,0.53,0,1.6,,78
HLT_mu6_2j40_0eta490_invm800_L1MU6_J30.0ETA49_2J20.0ETA49,invm,3.75,0,0.09,0.08,0.48,0.35,0.79,0.44,0,1.51,,79
HLT_mu6_iloose_mu6_11invm24_noos,invm,1.69,0.01,0.09,0.08,0.47,0.3,0.47,0.17,0,0.09,,80
HLT_mu6_iloose_mu6_24invm60_noos,invm,1.69,0.01,0.09,0.08,0.47,0.3,0.47,0.17,0,0.09,,81
HLT_mu6_2j40_0eta490_invm600_L1MU6_J30.0ETA49_2J20.0ETA49,invm,1.68,0,0.09,0.08,0.47,0.3,0.47,0.17,0,0.09,,82
HLT_mu4_iloose_mu4_11invm60_noos,invm,0.42,0.01,0.02,0.02,0.12,0.07,0.12,0.04,0,0.02,,83
HLT_mu4_iloose_mu4_7invm9_noos,invm,0.42,0.01,0.02,0.02,0.12,0.07,0.12,0.04,0,0.02,,84
HLT_mu6_2j40_0eta490_invm400_L1MU6_J30.0ETA49_2J20.0ETA49,invm,0.31,0,0.08,0.06,0.17,0,0,0,0,0,,85
HLT_mu6_iloose_mu6_11invm24_noos_novtx,invm,0.17,0,0.01,0.01,0.05,0.03,0.05,0.02,0,0.01,,86
HLT_mu6_iloose_mu6_24invm60_noos_novtx,invm,0.17,0,0.01,0.01,0.05,0.03,0.05,0.02,0,0.01,,87
2mu,,,,,,,,,,,,,88
