Period,pyAMI Run Number,Skimmed Ntuple Run Number,Missing Runs
A Total Runs,31,17,14
A1,296939,,
A1,296942,,
A2,297041,,
A2,297170,,
A2,297447,,
A3,297730,297730,
A4,298591,,
A5,298595,298595,
A5,298609,298609,
A5,298633,298633,
A5,298687,298687,
A5,298690,298690,
A5,298771,298771,
A5,298773,298773,
A5,298862,298862,
A5,298967,298967,
A6,299055,299055,
A7,299144,299144,
A7,299147,299147,
A7,299184,299184,
A8,299241,,
A8,299243,299243,
A8,299278,,
A8,299288,,
A8,299340,,
A8,299343,,
A9,299315,,
A9,299390,,
A9,300287,,
A10,299584,299584,
A10,300279,300279,
,,,
B Total Runs,13,13,0
B1,300345,300345,
B1,300415,300415,
B2,300418,300418,
B2,300487,300487,
B2,300540,300540,
B2,300571,300571,
B2,300600,300600,
B2,300655,300655,
B2,300687,300687,
B3,300784,300784,
B3,300800,300800,
B3,300863,300863,
B3,300908,300908,
,,,
C Total Runs,14,13,1
C1,301912,301912,
C1,301915,,
C1,301918,301918,
C2,301932,301932,
C2,301973,301973,
C3,302053,302053,
C3,302137,302137,
C3,302265,302265,
C3,302269,302269,
C3,302300,302300,
C3,302347,302347,
C3,302380,302380,
C3,302391,302391,
C4,302393,302393,
,,,
D Total Runs,20,18,2
D1,302737,302737,
D2,302829,,
D2,302831,302831,
D3,302872,302872,
D4,302919,302919,
D4,302925,302925,
D4,302956,302956,
D5,303007,303007,
D6,303059,,
D7,303079,303079,
D7,303201,303201,
D7,303208,303208,
D7,303264,303264,
D7,303266,303266,
D7,303291,303291,
D7,303304,303304,
D8,303338,303338,
D8,303421,303421,
D8,303499,303499,
D8,303560,303560,
,,,
E Total Runs,8,4,4
E1,303638,303638,
E2,303726,,
E2,303811,,
E2,303817,,
E2,303819,,
E3,303832,303832,
E3,303846,303846,
E3,303892,303892,
,,,
F Total Runs,13,13,0
F1,303943,303943,
F1,304006,304006,
F1,304008,304008,
F2,304128,304128,
F3,304178,304178,
F3,304198,304198,
F3,304211,304211,
F3,304243,304243,
F3,304308,304308,
F3,304337,304337,
F3,304409,304409,
F3,304431,304431,
F3,304494,304494,
,,,
G Total Runs,27,20,7
G1,305291,,
G1,305293,,
G3,305380,305380,
G3,305543,305543,
G3,305571,305571,
G3,305618,305618,
G3,305671,305671,
G3,305674,305674,
G3,305723,305723,
G3,305727,305727,
G3,305735,305735,
G3,305777,305777,
G4,305811,305811,
G4,305920,305920,
G5,306247,,
G6,306269,306269,
G6,306278,306278,
G6,306310,306310,
G6,306384,306384,
G6,306419,306419,
G6,306442,306442,
G6,306448,306448,
G6,306451,306451,
G7,306556,,
G7,306655,,
G7,306657,,
G7,306714,,
,,,
H Total Runs,4,0,4
H1,305359,,
H1,309314,,
H1,309346,,
H1,310216,,
,,,
I Total Runs,22,21,1
I1,307124,,
I2,307126,307126,
I2,307195,307195,
I2,307259,307259,
I2,307306,307306,
I2,307354,307354,
I2,307358,307358,
I2,307394,307394,
I2,307454,307454,
I2,307514,307514,
I2,307539,307539,
I2,307569,307569,
I3,307601,307601,
I4,307619,307619,
I4,307656,307656,
I4,307710,307710,
I4,307716,307716,
I4,307732,307732,
I4,307861,307861,
I5,307935,307935,
I5,308047,308047,
I5,308084,308084,
,,,
J Total Runs,7,0,7
J1,308979,,
J1,308982,,
J1,309010,,
J1,309039,,
J1,309074,,
J1,309165,,
J1,309166,,
,,,
K Total Runs,8,7,1
K1,309311,,
K2,309375,309375,
K3,309390,309390,
K3,309440,309440,
K3,309516,309516,
K3,309640,309640,
K3,309674,309674,
K3,309759,309759,
,,,
L Total Runs,26,23,3
L1,310015,310015,
L2,310210,,
L3,310247,310247,
L3,310249,310249,
L3,310341,310341,
L3,310370,310370,
L3,310405,310405,
L3,310468,310468,
L3,310473,310473,
L4,310574,,
L5,310634,310634,
L5,310691,310691,
L5,310738,310738,
L6,310781,,
L7,310809,310809,
L7,310863,310863,
L7,310872,310872,
L8,310969,310969,
L9,311071,311071,
L9,311170,311170,
L9,311244,311244,
L9,311287,311287,
L9,311321,311321,
L9,311365,311365,
L9,311402,311402,
L10,311473,311473,
L11,311481,311481,
