Directory Name	D	E	F	G	H	J
Entries in original tree	41110	395216	263986	623769	207306	1076043
Blind Cut not passed	14436	138721	93140	219515	72658	378560
sigPre Cut not passed	0	0	0	0	0	0
TriggerCut not passed	9485	105819	70102	164489	50878	210594
MuonTightCut not passed	4665	40561	26977	64268	22320	130451
MuonCombinedCut not passed	0	0	0	0	0	0
MuonKinCuts not passed	518	4505	3025	7072	2477	14555
B_fitChi2NDFCut not passed	1365	12262	8271	19681	6886	39786
BKinCut not passed	0	1	0	1	0	1
Additional Cut not passed	5829	51708	34575	82422	28879	166989
EventsNotCut	4812	41639	27896	66321	23208	135107
Entries in final tree	4812	41639	27896	66321	23208	135107
