Directory Name	 /eos/atlas/atlascerngroupdisk/phys-beauty/BsMuMuRun2/BsMuMuRel21Prod1/ntup/skimmed_data/v3/user.acampove.data16_13TeV.periodA.physics_Main.BPHY8_FNTUP.grp16_v01_p3583_Bmumu.root/output*.root	B	C	D	E	F	G	I	K	L
Entries in original tree	328692	862232	1360316	2138732	765508	1442713	1549332	2905863	1293961	3210773
Blind Cut not passed	115878	304564	479463	754235	269395	509507	546919	1026246	455819	1134325
sigPre Cut not passed	0	0	0	0	0	0	0	0	0	0
TriggerCut not passed	105436	297361	441457	678201	236373	483860	550091	1182895	530545	1361458
MuonTightCut not passed	28246	69146	115165	186684	68331	118573	119253	182444	80835	187632
MuonCombinedCut not passed	0	0	0	0	0	0	0	0	0	0
MuonKinCuts not passed	3052	6941	12266	19749	7299	12684	12548	19215	8362	19117
B_fitChi2NDFCut not passed	8902	21701	36097	60514	22330	38600	38947	60856	26457	62125
BKinCut not passed	0	0	1	0	1	1	1	2	0	1
Additional Cut not passed	14648	33976	63948	94916	34537	59983	58029	88496	39955	92696
EventsNotCut	52530	128543	211919	344433	127242	219505	223544	345709	151988	353419
Entries in final tree	52530	128543	211919	344433	127242	219505	223544	345709	151988	353419
