user.ibragimo.17073931.Bmumu._000001_skimmed.root
Total Entries:
30952

HLT_2g10_loose_mu20 1
HLT_2mu10_bBmumuxv2 284
HLT_2mu10_bJpsimumu 29
HLT_2mu10_bUpsimumu 3
HLT_2mu14 399
HLT_2mu14_2j35_boffperf_split 191
HLT_2mu15_L12MU10 311
HLT_2mu20_L12MU20_OVERLAY 59
HLT_2mu4_bBmumu_L1BPH-2M9-2MU4_BPH-0DR15-2MU4 2291
HLT_2mu4_bBmumu_Lxy0_L1BPH-2M9-2MU4_BPH-0DR15-2MU4 23433
HLT_2mu4_bBmumux_BpmumuKp_L1BPH-2M9-2MU4_BPH-0DR15-2MU4 16
HLT_2mu4_bBmumux_BsmumuPhi_L1BPH-2M9-2MU4_BPH-0DR15-2MU4 91
HLT_2mu4_bJpsimumu_Lxy0_L1BPH-2M9-2MU4_BPH-0DR15-2MU4 51
HLT_2mu4_invm1_j20_xe40_pufit_2dphi10_L12MU4_J20_XE30_DPHI-J20s2XE30 335
HLT_2mu4_invm1_j20_xe60_pufit_2dphi10_L12MU4_J20_XE30_DPHI-J20s2XE30 206
HLT_2mu4_invm1_j20_xe60_pufit_2dphi10_L12MU4_J40_XE50 63
HLT_2mu4_j70_j50_0eta490_invm1000j50_xe50_pufit_L1MJJ-500-NFF 25
HLT_2mu4_j70_j50_0eta490_invm1000j50_xe50_pufit_L1MJJ-700 18
HLT_2mu6_2j50_0eta490_invm900j50_L1MJJ-500-NFF 29
HLT_2mu6_2j50_0eta490_invm900j50_L1MJJ-700 19
HLT_2mu6_bBmumu_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 487
HLT_2mu6_bBmumu_Lxy0_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 5398
HLT_2mu6_bBmumux_BpmumuKp_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 94
HLT_2mu6_bBmumux_BsmumuPhi_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 39
HLT_2mu6_bBmumuxv2_L1LFV-MU6 2535
HLT_2mu6_bDimu 68
HLT_2mu6_bDimu_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 67
HLT_2mu6_bDimu_L1LFV-MU6 35
HLT_2mu6_bDimu_novtx_noos_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 29
HLT_2mu6_bDimu_novtx_noos_L1LFV-MU6 24
HLT_2mu6_bJpsimumu_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 106
HLT_2mu6_bJpsimumu_Lxy0_L1BPH-2M9-2MU6_BPH-2DR15-2MU6 77
HLT_2mu6_bPhi_L1LFV-MU6 14
HLT_2mu6_bUpsimumu_L1BPH-8M15-2MU6_BPH-0DR22-2MU6 10
HLT_2mu6_mu4_bTau_L12MU6_3MU4 15
HLT_2mu6_mu4_bUpsi 33
HLT_3mu4_bJpsi 216
HLT_3mu4_bPhi 18
HLT_3mu4_bTau 26
HLT_3mu4_bUpsi 119
HLT_3mu6 196
HLT_3mu6_bDimu 212
HLT_3mu6_bJpsi 37
HLT_3mu6_bTau 6
HLT_3mu6_bUpsi 6
HLT_3mu6_msonly 368
HLT_3mu8_msonly 163
HLT_4mu4 51
HLT_4mu4_bDimu6000 75
HLT_e12_lhloose_nod0_2mu10 6
HLT_e12_lhmedium_nod0_2mu10 5
HLT_e17_lhloose_nod0_mu14 2
HLT_e26_lhmedium_nod0_mu8noL1 2
HLT_e28_lhmedium_nod0_L1EM24VHIM_mu8noL1 2
HLT_e28_lhmedium_nod0_L1EM24VHI_mu8noL1_2j35_boffperf_split 1
HLT_e28_lhmedium_nod0_mu8noL1 2
HLT_e5_lhloose_nod0_mu4_j30_xe40_pufit_2dphi10_L1MU4_J30_XE40_DPHI-J20s2XE30 3
HLT_e5_lhmedium_nod0_mu4_j30_xe65_pufit_2dphi10_L1MU4_XE60 1
HLT_e5_lhvloose_nod0_bBeexM6000t_2mu4_nomucomb_L1BPH-0DR3-EM7J15_2MU4 23
HLT_e5_lhvloose_nod0_bBeexM6000t_mu6_nomucomb_L1BPH-0DR3-EM7J15_MU6 27
HLT_e5_lhvloose_nod0_mu4_j30_xe40_pufit_2dphi10_L1MU4_J30_XE40_DPHI-J20s2XE30 16
HLT_e7_lhmedium_nod0_mu24 6
HLT_e9_lhvloose_nod0_e5_lhvloose_nod0_bBeexM6000t_2mu4_nomucomb_L1BPH-0M9-EM7-EM5_2MU4 1
HLT_e9_lhvloose_nod0_e5_lhvloose_nod0_bBeexM6000t_mu6_nomucomb_L1BPH-0M9-EM7-EM5_MU6 1
HLT_e9_lhvloose_nod0_mu20_mu8noL1 12
HLT_e9_lhvloose_nod0_mu20_mu8noL1_L1EM7_MU20 11
HLT_e9_lhvloose_nod0_mu20_mu8noL1_L1EM8VH_MU20 12
HLT_g15_loose_2mu10_msonly 47
HLT_g25_medium_mu24 7
HLT_g35_loose_L1EM24VHIM_mu15_mu2noL1 11
HLT_g35_loose_L1EM24VHIM_mu18 7
HLT_g35_loose_L1EM24VHI_mu15_mu2noL1 11
HLT_g35_loose_L1EM24VHI_mu18 7
HLT_g35_tight_icalotight_L1EM24VHIM_mu15noL1_mu2noL1 2
HLT_g35_tight_icalotight_L1EM24VHI_mu15noL1_mu2noL1 2
HLT_g40_tight_icalotight_L1EM24VHIM_mu15noL1_mu2noL1 2
HLT_g40_tight_icalotight_L1EM24VHI_mu15noL1_mu2noL1 2
HLT_j30_muvtx 1
HLT_j30_muvtx_noiso 38
HLT_mu10_bJpsi_TrkPEB 4
HLT_mu10_bJpsi_TrkPEBmon 1
HLT_mu10_ivarmedium_j70_j50_0eta490_invm900j50_L1MJJ-500-NFF 1
HLT_mu10_mgonly_L1LATE-MU10_J50 9
HLT_mu10_mgonly_L1LATE-MU10_XE40 7
HLT_mu10_mgonly_L1LATE-MU10_XE50 4
HLT_mu11_2mu4noL1_bNocut_L1MU11_2MU6 666
HLT_mu11_2mu4noL1_bTau_L1MU11_2MU6 1
HLT_mu11_mu6_bBmumu 4241
HLT_mu11_mu6_bBmumu_L1LFV-MU11 4241
HLT_mu11_mu6_bBmumux_BpmumuKp 51
HLT_mu11_mu6_bBmumux_BpmumuKp_L1LFV-MU11 51
HLT_mu11_mu6_bBmumuxv2 1000
HLT_mu11_mu6_bBmumuxv2_L1LFV-MU11 999
HLT_mu11_mu6_bDimu 4283
HLT_mu11_mu6_bDimu2700 155
HLT_mu11_mu6_bDimu2700_L1LFV-MU11 154
HLT_mu11_mu6_bDimu2700_Lxy0 44
HLT_mu11_mu6_bDimu2700_Lxy0_L1LFV-MU11 44
HLT_mu11_mu6_bDimu_L1LFV-MU11 4283
HLT_mu11_mu6_bDimu_Lxy0 2445
HLT_mu11_mu6_bDimu_Lxy0_L1LFV-MU11 2445
HLT_mu11_mu6_bDimu_noinvm_novtx_ss 1
HLT_mu11_mu6_bDimu_noinvm_novtx_ss_L1LFV-MU11 4
HLT_mu11_mu6_bDimu_novtx_noos 11
HLT_mu11_mu6_bDimu_novtx_noos_L1LFV-MU11 19
HLT_mu11_mu6_bJpsimumu 61
HLT_mu11_mu6_bJpsimumu_L1LFV-MU11 61
HLT_mu11_mu6_bJpsimumu_Lxy0 46
HLT_mu11_mu6_bJpsimumu_Lxy0_L1LFV-MU11 46
HLT_mu11_mu6_bNocut 1
HLT_mu11_mu6_bNocut_L1LFV-MU11 10
HLT_mu11_mu6_bPhi 11
HLT_mu11_mu6_bPhi_L1LFV-MU11 9
HLT_mu11_mu6_bTau 180
HLT_mu11_mu6_bTau_L1LFV-MU11 179
HLT_mu11_mu6_bUpsimumu 10
HLT_mu11_mu6_bUpsimumu_L1LFV-MU11 10
HLT_mu11_mu6noL1_bNocut_L1MU11_2MU6 5
HLT_mu11_mu6noL1_bPhi_L1MU11_2MU6 4
HLT_mu13_mu13_idperf_Zmumu 5
HLT_mu14 3
HLT_mu14_3j20_L1MU10_3J20 1
HLT_mu14_iloose_tau25_perf_tracktwo 3
HLT_mu14_ivarloose_3j20_L1MU10_3J20 21
HLT_mu14_ivarloose_L1MU11_tau35_medium1_tracktwoEF_L1MU11_TAU20IM 12
HLT_mu14_ivarloose_L1MU11_tau35_medium1_tracktwo_L1MU11_TAU20IM 12
HLT_mu14_ivarloose_L1MU11_tau35_mediumRNN_tracktwoMVA_L1MU11_TAU20IM 7
HLT_mu14_ivarloose_tau25_medium1_tracktwo 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_L1MU10_TAU12IM_3J12 4
HLT_mu14_ivarloose_tau25_medium1_tracktwoEF_xe50 1
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1MU10_TAU12IM 3
HLT_mu14_ivarloose_tau25_medium1_tracktwo_L1MU10_TAU12IM_3J12 4
HLT_mu14_ivarloose_tau25_medium1_tracktwo_xe50 1
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA 8
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_L1DR-MU10TAU12I_TAU12I-J25 9
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_L1MU10_TAU12IM_3J12 2
HLT_mu14_ivarloose_tau25_mediumRNN_tracktwoMVA_xe50 1
HLT_mu14_ivarloose_tau35_medium1_tracktwo 12
HLT_mu14_ivarloose_tau35_medium1_tracktwoEF 12
HLT_mu14_ivarloose_tau35_medium1_tracktwoEF_L1MU10_TAU20IM_J25_2J20 6
HLT_mu14_ivarloose_tau35_medium1_tracktwo_L1MU10_TAU20IM_J25_2J20 6
HLT_mu14_ivarloose_tau35_mediumRNN_tracktwoMVA 7
HLT_mu14_ivarloose_tau35_mediumRNN_tracktwoMVA_L1MU10_TAU20IM_J25_2J20 1
HLT_mu14_tau25_medium1_tracktwoEF_xe50 12
HLT_mu14_tau25_medium1_tracktwo_xe50 11
HLT_mu14_tau25_mediumRNN_tracktwoMVA_xe50 11
