Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
278880, 462, 0, 23.533770, 21.421260, 21.419210, 21.419210, 91.02, 99.99, 100.00
278912, 410, 0, 20.196905, 19.634993, 19.633223, 19.633223, 97.22, 99.99, 100.00
278968, 124, 0, 10.377952, 9.884943, 9.883003, 9.883003, 95.25, 99.98, 100.00
279169, 790, 0, 60.337460, 55.013320, 55.005510, 55.005510, 91.18, 99.99, 100.00
279259, 102, 0, 7.839860, 7.314420, 7.312930, 7.312930, 93.30, 99.98, 100.00
279279, 227, 0, 17.532862, 16.905419, 16.897099, 16.897099, 96.42, 99.95, 100.00
279284, 456, 0, 32.916800, 31.823200, 31.816400, 31.816400, 96.68, 99.98, 100.00
279345, 628, 0, 54.577748, 52.696259, 52.683661, 52.683661, 96.55, 99.98, 100.00
279515, 5, 0, 0.418268, 0.348032, 0.347662, 0.347662, 83.21, 99.89, 100.00
279598, 697, 0, 69.951771, 67.881919, 67.858990, 67.858990, 97.04, 99.97, 100.00
279685, 783, 0, 76.395890, 74.500200, 74.470953, 74.470953, 97.52, 99.96, 100.00
279813, 507, 0, 49.100220, 47.623998, 47.616706, 47.616706, 96.99, 99.98, 100.00
279867, 253, 0, 30.667210, 29.568310, 29.563600, 29.563600, 96.42, 99.98, 100.00
279928, 9, 0, 1.143630, 1.096030, 1.096030, 1.096030, 95.84, 100.00, 100.00
Total, 5453, 0, 454.990000, 435.713000, 435.605000, 435.605000, 95.76, 99.98, 100.00
