Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
280423, 504, 0, 72.333110, 68.576460, 68.573330, 68.573330, 94.81, 100.00, 100.00
280464, 427, 0, 63.798900, 58.348700, 58.342800, 58.342800, 91.46, 99.99, 100.00
280500, 76, 0, 7.863750, 7.274240, 7.273970, 7.273970, 92.50, 100.00, 100.00
280520, 123, 0, 12.739400, 12.121934, 12.118483, 12.118483, 95.15, 99.97, 100.00
280614, 168, 0, 25.323710, 24.254840, 24.235660, 24.235660, 95.78, 99.92, 100.00
280673, 1061, 0, 155.381000, 149.097600, 149.063100, 149.063100, 95.96, 99.98, 100.00
280753, 316, 0, 48.344066, 45.226317, 45.214597, 45.214597, 93.55, 99.97, 100.00
280853, 62, 0, 8.201190, 7.215950, 7.213880, 7.213880, 87.99, 99.97, 100.00
280862, 955, 0, 137.580173, 131.186593, 131.153913, 131.153913, 95.35, 99.98, 100.00
280950, 960, 0, 134.213050, 125.766186, 125.749586, 125.749586, 93.71, 99.99, 100.00
280977, 209, 0, 36.664788, 34.954341, 34.932670, 34.932670, 95.33, 99.94, 100.00
281070, 74, 0, 13.719070, 12.798750, 12.794580, 12.794580, 93.29, 99.97, 100.00
281074, 287, 0, 48.977790, 46.704310, 46.660110, 46.660110, 95.36, 99.91, 100.00
281075, 7, 0, 1.273050, 1.072500, 1.072130, 1.072130, 84.25, 99.97, 100.00
Total, 5229, 0, 766.413000, 724.599000, 724.399000, 724.399000, 94.54, 99.97, 100.00
