Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
282625, 141, 0, 11.120100, 10.675800, 10.675200, 10.675200, 96.00, 99.99, 100.00
282631, 178, 0, 29.050570, 26.776710, 26.769170, 26.769170, 92.17, 99.97, 100.00
282712, 495, 0, 99.174530, 93.985350, 93.932390, 93.932390, 94.77, 99.94, 100.00
282784, 33, 0, 2.954410, 2.883260, 2.883260, 2.883260, 97.59, 100.00, 100.00
282992, 571, 0, 111.042120, 106.800670, 106.771360, 106.771360, 96.18, 99.97, 100.00
283074, 283, 0, 58.580580, 55.829470, 55.800830, 55.800830, 95.30, 99.95, 100.00
283155, 146, 0, 30.186800, 28.743000, 28.732700, 28.732700, 95.22, 99.96, 100.00
283270, 65, 0, 14.588300, 13.278500, 13.271300, 13.271300, 91.02, 99.95, 100.00
283429, 1283, 0, 244.877360, 234.724670, 234.567940, 234.567940, 95.85, 99.93, 100.00
283608, 167, 0, 24.343597, 23.814010, 23.808960, 23.808960, 97.82, 99.98, 100.00
283780, 775, 0, 150.495871, 145.158282, 145.089802, 145.089802, 96.45, 99.95, 100.00
284006, 176, 0, 41.646950, 38.924160, 38.918920, 38.918920, 93.46, 99.99, 100.00
284154, 141, 0, 10.318500, 9.998900, 9.998660, 9.998660, 96.90, 100.00, 100.00
284213, 978, 0, 207.348720, 200.003740, 199.990720, 199.990720, 96.46, 99.99, 100.00
284285, 1192, 0, 265.398431, 247.913970, 247.885970, 247.885970, 93.41, 99.99, 100.00
284420, 239, 0, 61.870091, 57.506176, 57.500046, 57.500046, 92.95, 99.99, 100.00
284427, 136, 0, 36.726100, 35.258800, 35.255300, 35.255300, 96.00, 99.99, 100.00
284484, 474, 0, 109.902731, 103.402767, 103.396857, 103.396857, 94.09, 99.99, 100.00
Total, 7473, 0, 1509.630000, 1435.680000, 1435.250000, 1435.250000, 95.10, 99.97, 100.00
