Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
300345, 29, 0, 5.303338, 4.781884, 4.781485, 4.781485, 90.17, 99.99, 100.00
300415, 447, 0, 93.705931, 88.645365, 88.635973, 88.635973, 94.60, 99.99, 100.00
300418, 27, 0, 6.439361, 5.538406, 5.538406, 5.538406, 86.01, 100.00, 100.00
300487, 494, 0, 124.317135, 119.684578, 119.671016, 119.671016, 96.27, 99.99, 100.00
300540, 696, 0, 184.685774, 175.543503, 175.509089, 157.947739, 95.05, 99.98, 111.12
300571, 482, 0, 152.185299, 141.435492, 141.312790, 141.312790, 92.94, 99.91, 100.00
300600, 158, 0, 56.102570, 48.358240, 48.067520, 48.067520, 86.20, 99.40, 100.00
300655, 671, 0, 239.293740, 228.384050, 228.365670, 123.990014, 95.44, 99.99, 184.18
300687, 1069, 0, 341.365092, 324.280568, 324.239830, 216.230143, 95.00, 99.99, 149.95
300784, 22, 0, 7.540385, 7.035920, 7.035850, 1.034583, 93.31, 100.00, 680.07
300800, 801, 0, 289.787886, 273.331972, 273.316922, 101.811045, 94.32, 99.99, 268.46
300863, 1043, 0, 344.498693, 325.585800, 325.576349, 219.267096, 94.51, 100.00, 148.48
300908, 646, 0, 227.191380, 210.975500, 210.962270, 108.555280, 92.86, 99.99, 194.34
Total, 6585, 0, 2072.420000, 1953.580000, 1953.020000, 1336.850000, 94.27, 99.97, 146.09
