Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
301912, 49, 0, 6.593232, 6.159556, 6.159466, 6.159466, 93.42, 100.00, 100.00
301918, 165, 0, 19.708500, 19.136500, 19.136400, 19.136400, 97.10, 100.00, 100.00
301932, 1156, 2, 372.435924, 353.735285, 353.699331, 332.734361, 94.98, 99.99, 106.30
301973, 1640, 0, 483.388460, 462.940957, 462.801073, 438.231173, 95.77, 99.97, 105.61
302053, 1100, 0, 400.180069, 377.900500, 377.645667, 276.477531, 94.43, 99.93, 136.59
302137, 529, 0, 204.306240, 194.981810, 194.973770, 120.818327, 95.44, 100.00, 161.38
302265, 273, 0, 108.961223, 100.986819, 100.982819, 42.589612, 92.68, 100.00, 237.11
302269, 175, 0, 58.036210, 55.717910, 55.716850, 55.716850, 96.01, 100.00, 100.00
302300, 1470, 0, 397.475787, 380.629605, 380.619945, 378.145665, 95.76, 100.00, 100.65
302347, 534, 0, 205.232644, 193.578441, 193.572101, 100.263574, 94.32, 100.00, 193.06
302380, 250, 0, 109.281000, 103.565260, 103.515080, 1.035150, 94.77, 99.95, 10000.01
302391, 303, 0, 130.733910, 124.675890, 124.634660, 27.867109, 95.37, 99.97, 447.25
302393, 1745, 0, 519.780940, 497.142208, 496.988646, 431.938490, 95.64, 99.97, 115.06
Total, 9389, 2, 3016.110000, 2871.150000, 2870.440000, 2231.110000, 95.19, 99.98, 128.66
