Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
302737, 190, 0, 83.239179, 78.885297, 78.836651, 15.767340, 94.77, 99.94, 500.00
302831, 70, 0, 15.744750, 15.562000, 15.556820, 15.556820, 98.84, 99.97, 100.00
302872, 2283, 0, 668.102364, 635.897609, 635.620411, 452.426501, 95.18, 99.96, 140.49
302919, 154, 0, 66.597480, 61.265620, 61.258710, 4.537202, 91.99, 99.99, 1350.14
302925, 355, 0, 131.804942, 126.194303, 126.144574, 123.410587, 95.74, 99.96, 102.22
302956, 920, 0, 350.632915, 331.017198, 330.687698, 234.735714, 94.41, 99.90, 140.88
303007, 34, 0, 17.437330, 15.507870, 15.496190, 2.584598, 88.93, 99.92, 599.56
303079, 231, 0, 110.627988, 99.693698, 99.650442, 94.321081, 90.12, 99.96, 105.65
303201, 215, 0, 111.518400, 90.675850, 90.618000, 16.605934, 81.31, 99.94, 545.70
303208, 1535, 0, 553.974149, 525.896742, 525.449195, 433.947345, 94.93, 99.91, 121.09
303264, 79, 0, 37.076490, 30.010660, 29.959440, 5.991898, 80.94, 99.83, 500.00
303266, 707, 0, 286.236202, 266.575758, 266.480771, 214.773500, 93.13, 99.96, 124.08
303291, 401, 0, 176.867510, 167.419110, 167.275260, 75.733204, 94.66, 99.91, 220.87
303304, 1409, 0, 493.475149, 468.907342, 468.491742, 404.297393, 95.02, 99.91, 115.88
303338, 1557, 0, 537.325800, 509.855164, 509.263970, 439.168299, 94.89, 99.88, 115.96
303421, 1374, 0, 506.085021, 475.924266, 475.091194, 405.183246, 94.04, 99.82, 117.25
303499, 1317, 0, 434.260790, 413.998270, 413.795720, 403.502320, 95.33, 99.95, 102.55
303560, 831, 0, 339.401337, 321.692240, 321.545260, 246.999411, 94.78, 99.95, 130.18
Total, 13662, 0, 4920.430000, 4634.980000, 4631.200000, 3589.530000, 94.20, 99.92, 129.02
