Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
305380, 668, 0, 329.513359, 315.009253, 314.812236, 159.569763, 95.60, 99.94, 197.29
305543, 629, 0, 190.560440, 183.111640, 183.069870, 183.069870, 96.09, 99.98, 100.00
305571, 39, 0, 19.501096, 18.089027, 18.081331, 3.616268, 92.76, 99.96, 500.00
305618, 787, 0, 314.337750, 304.001550, 302.935670, 228.396990, 96.71, 99.65, 132.64
305671, 50, 0, 26.769000, 25.561100, 25.557200, 5.111450, 95.49, 99.98, 500.00
305674, 37, 0, 19.340300, 18.323100, 18.319200, 3.663830, 94.74, 99.98, 500.00
305723, 703, 0, 297.811341, 274.046216, 273.642726, 173.950015, 92.02, 99.85, 157.31
305727, 243, 0, 69.490130, 66.949281, 66.938028, 66.938028, 96.34, 99.98, 100.00
305735, 268, 0, 129.976600, 123.639400, 123.592100, 41.283100, 95.12, 99.96, 299.38
305777, 808, 0, 328.108372, 315.010695, 314.870246, 228.390616, 96.01, 99.96, 137.86
305811, 622, 0, 277.936850, 268.293770, 268.176300, 120.182920, 96.53, 99.96, 223.14
305920, 573, 0, 263.158020, 254.621170, 254.499320, 145.718208, 96.76, 99.95, 174.65
306269, 320, 0, 162.133700, 156.047600, 155.935000, 45.522390, 96.25, 99.93, 342.55
306278, 1001, 0, 400.361134, 386.129713, 386.020394, 272.377345, 96.45, 99.97, 141.72
306310, 1088, 0, 395.100600, 384.412900, 384.258200, 277.087700, 97.29, 99.96, 138.68
306384, 539, 0, 200.952420, 194.503100, 194.370990, 180.641013, 96.79, 99.93, 107.60
306419, 162, 0, 92.561652, 89.902462, 89.816596, 17.963349, 97.13, 99.90, 500.00
306442, 52, 0, 31.945824, 30.561442, 30.532015, 6.106404, 95.67, 99.90, 500.00
306448, 212, 0, 109.977540, 103.597680, 103.518910, 20.703730, 94.20, 99.92, 500.00
306451, 762, 0, 337.609730, 325.984730, 325.780550, 197.116800, 96.56, 99.94, 165.27
307126, 186, 0, 28.013400, 26.839300, 26.838900, 26.838900, 95.81, 100.00, 100.00
307195, 464, 0, 224.589000, 215.345000, 215.163000, 104.419000, 95.88, 99.92, 206.06
307259, 765, 0, 317.610000, 305.799000, 305.696000, 185.331500, 96.28, 99.97, 164.95
307306, 386, 0, 195.868000, 187.818000, 187.745000, 72.372500, 95.89, 99.96, 259.41
307354, 154, 0, 87.087300, 82.923400, 82.918200, 16.583600, 95.22, 99.99, 500.00
307358, 910, 0, 392.849000, 381.232300, 381.183300, 243.785700, 97.04, 99.99, 156.36
307394, 921, 0, 378.815800, 358.648800, 358.434600, 249.079500, 94.68, 99.94, 143.90
307454, 1272, 0, 501.474800, 485.498500, 485.312200, 341.608200, 96.81, 99.96, 142.07
307514, 412, 0, 213.261620, 198.899660, 198.841000, 59.251910, 93.27, 99.97, 335.59
307539, 134, 0, 78.857000, 75.430600, 75.359000, 15.071800, 95.65, 99.91, 500.00
307569, 785, 0, 344.116500, 330.899000, 330.639900, 185.544340, 96.16, 99.92, 178.20
307601, 651, 0, 316.139580, 303.739521, 303.043453, 150.686571, 96.08, 99.77, 201.11
307619, 128, 0, 70.641400, 68.389800, 68.164900, 13.633000, 96.81, 99.67, 500.00
307656, 1163, 0, 451.776889, 435.889539, 434.657211, 372.011843, 96.48, 99.72, 116.84
307710, 140, 0, 84.515080, 78.888625, 78.573104, 15.714611, 93.34, 99.60, 500.00
307716, 414, 0, 228.610810, 219.039470, 218.401830, 103.643790, 95.81, 99.71, 210.72
307732, 1475, 0, 557.161050, 533.677570, 533.064520, 429.660020, 95.79, 99.89, 124.07
307861, 665, 0, 309.421910, 293.083430, 292.883070, 206.263610, 94.72, 99.93, 141.99
307935, 1012, 0, 425.733000, 405.004200, 404.918600, 305.805910, 95.13, 99.98, 132.41
308047, 1322, 0, 492.480000, 473.577000, 473.422000, 395.074000, 96.16, 99.97, 119.83
308084, 835, 0, 362.687900, 348.700420, 348.362320, 271.800960, 96.14, 99.90, 128.17
309375, 174, 0, 51.762290, 44.328020, 44.290090, 35.683400, 85.64, 99.91, 124.12
309390, 770, 0, 299.577900, 286.954000, 286.595500, 271.893500, 95.79, 99.88, 105.41
309440, 1185, 0, 468.311222, 441.237453, 439.843481, 327.947561, 94.22, 99.68, 134.12
309516, 867, 0, 387.637420, 365.949390, 365.271490, 239.819490, 94.41, 99.81, 152.31
309640, 977, 0, 399.929000, 381.656000, 381.193000, 274.336000, 95.43, 99.88, 138.95
309674, 818, 0, 358.979920, 339.912480, 337.652340, 237.508570, 94.69, 99.34, 142.16
309759, 914, 0, 384.046782, 358.101776, 354.178534, 269.209427, 93.24, 98.90, 131.56
310015, 4, 0, 2.198800, 2.167880, 2.139180, 0.427836, 98.59, 98.68, 500.00
Total, 29466, 0, 12411.300000, 11867.400000, 11849.500000, 7798.430000, 95.62, 99.85, 151.95
