Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
307126, 186, 0, 28.013400, 26.839300, 26.838900, 26.838900, 95.81, 100.00, 100.00
307195, 464, 0, 224.589000, 215.345000, 215.163000, 104.419000, 95.88, 99.92, 206.06
307259, 765, 0, 317.610000, 305.799000, 305.696000, 185.331500, 96.28, 99.97, 164.95
307306, 386, 0, 195.868000, 187.818000, 187.745000, 72.372500, 95.89, 99.96, 259.41
307354, 154, 0, 87.087300, 82.923400, 82.918200, 16.583600, 95.22, 99.99, 500.00
307358, 910, 0, 392.849000, 381.232300, 381.183300, 243.785700, 97.04, 99.99, 156.36
307394, 921, 0, 378.815800, 358.648800, 358.434600, 249.079500, 94.68, 99.94, 143.90
307454, 1272, 0, 501.474800, 485.498500, 485.312200, 341.608200, 96.81, 99.96, 142.07
307514, 412, 0, 213.261620, 198.899660, 198.841000, 59.251910, 93.27, 99.97, 335.59
307539, 134, 0, 78.857000, 75.430600, 75.359000, 15.071800, 95.65, 99.91, 500.00
307569, 785, 0, 344.116500, 330.899000, 330.639900, 185.544340, 96.16, 99.92, 178.20
307601, 651, 0, 316.139580, 303.739521, 303.043453, 150.686571, 96.08, 99.77, 201.11
307619, 128, 0, 70.641400, 68.389800, 68.164900, 13.633000, 96.81, 99.67, 500.00
307656, 1163, 0, 451.776889, 435.889539, 434.657211, 372.011843, 96.48, 99.72, 116.84
307710, 140, 0, 84.515080, 78.888625, 78.573104, 15.714611, 93.34, 99.60, 500.00
307716, 414, 0, 228.610810, 219.039470, 218.401830, 103.643790, 95.81, 99.71, 210.72
307732, 1475, 0, 557.161050, 533.677570, 533.064520, 429.660020, 95.79, 99.89, 124.07
307861, 665, 0, 309.421910, 293.083430, 292.883070, 206.263610, 94.72, 99.93, 141.99
307935, 1012, 0, 425.733000, 405.004200, 404.918600, 305.805910, 95.13, 99.98, 132.41
308047, 1322, 0, 492.480000, 473.577000, 473.422000, 395.074000, 96.16, 99.97, 119.83
308084, 835, 0, 362.687900, 348.700420, 348.362320, 271.800960, 96.14, 99.90, 128.17
Total, 14194, 0, 6061.710000, 5809.310000, 5803.620000, 3764.190000, 95.84, 99.90, 154.18
