Run, Good, Bad, LDelivered, LRecorded, LAr Corrected, Prescale Corrected, Live Fraction, LAr Fraction, Prescale Fraction
310015, 4, 0, 2.198800, 2.167880, 2.139180, 0.427836, 98.59, 98.68, 500.00
310247, 46, 0, 26.990951, 25.187475, 24.524076, 4.008161, 93.32, 97.37, 611.85
310249, 1085, 0, 442.401417, 412.174373, 407.346332, 279.049222, 93.17, 98.83, 145.98
310341, 1080, 0, 449.264840, 422.246890, 417.879330, 297.657330, 93.99, 98.97, 140.39
310370, 25, 0, 16.133700, 15.582100, 15.469600, 3.093920, 96.58, 99.28, 500.00
310405, 403, 0, 201.132000, 185.264100, 184.016600, 96.912500, 92.11, 99.33, 189.88
310468, 296, 0, 164.281000, 154.172000, 151.452000, 44.223900, 93.85, 98.24, 342.47
310473, 429, 0, 242.035200, 224.736700, 221.731300, 78.059550, 92.85, 98.66, 284.05
310634, 1491, 0, 563.414340, 531.811470, 531.489260, 374.207632, 94.39, 99.94, 142.03
310691, 769, 0, 353.399000, 323.548000, 323.242000, 193.061000, 91.55, 99.91, 167.43
310738, 958, 0, 421.583400, 391.396200, 391.102500, 237.832300, 92.84, 99.92, 164.44
310809, 969, 0, 396.941600, 376.584400, 376.438500, 262.968510, 94.87, 99.96, 143.15
310863, 184, 0, 122.408000, 115.462000, 115.387000, 23.077500, 94.33, 99.94, 500.00
310872, 368, 0, 198.908100, 183.164700, 182.850900, 66.294130, 92.09, 99.83, 275.82
310969, 468, 0, 180.717450, 173.347510, 173.277930, 172.292230, 95.92, 99.96, 100.57
311071, 468, 0, 243.277000, 228.088100, 227.684700, 123.689300, 93.76, 99.82, 184.08
311170, 1010, 0, 394.364800, 370.535900, 370.330200, 367.724200, 93.96, 99.94, 100.71
311244, 502, 0, 271.109460, 250.944810, 250.778540, 120.430140, 92.56, 99.93, 208.24
311287, 838, 0, 385.956409, 366.545350, 366.392641, 249.857541, 94.97, 99.96, 146.64
311321, 869, 0, 383.442600, 364.224400, 364.174400, 252.994880, 94.99, 99.99, 143.95
311365, 543, 0, 291.597100, 275.779300, 275.696100, 127.590500, 94.58, 99.97, 216.08
311402, 723, 0, 351.591420, 330.538420, 330.466720, 196.588114, 94.01, 99.98, 168.10
311473, 236, 0, 106.431000, 102.193000, 102.189000, 101.543000, 96.02, 100.00, 100.64
311481, 750, 0, 357.481700, 339.194300, 339.157100, 218.479380, 94.88, 99.99, 155.24
Total, 14514, 0, 6567.050000, 6164.910000, 6145.210000, 3892.070000, 93.88, 99.68, 157.89
