"Trigger Lumi per period, data16_13TeV           (2016)",Cat,Total lumi,A,B,C,D,E,F,G,H,I,L,0
Tau,,,,,,,,,,,,,1
HLT_2mu6_bBmumux_Taumumux,Tau,2.01,0,0,0,0,0,0,0.43,0.26,0.63,0.69,16
HLT_2mu6_nomucomb_mu4_nomucomb_bTau_L12MU6_3MU4,Tau,35.91,0.62,1.1,2.85,5.23,2.26,3.74,4.32,2.59,6.28,6.92,5
HLT_3mu4_nomucomb_bTau,Tau,4.38,0.62,0.6,0.71,0.71,0.43,0.28,0.29,0.2,0.39,0.16,13
HLT_3mu6_bTau,Tau,37.37,0.62,2.21,3.2,5.23,2.26,3.74,4.32,2.59,6.28,6.92,2
HLT_mu10_mu6_bBmumux_Taumumux,Tau,2.01,0,0,0,0,0,0,0.43,0.26,0.63,0.69,14
HLT_mu10_mu6_bBmumux_Taumumux_noL2,Tau,2.01,0,0,0,0,0,0,0.43,0.26,0.63,0.69,15
HLT_mu11_nomucomb_2mu4noL1_nscan03_L1LFV-MU_bTau,Tau,15.4,0,0,0,0,0,0,0.67,2.36,6.01,6.37,9
HLT_mu11_nomucomb_2mu4noL1_nscan03_L1MU11_2MU6_bTau,Tau,37.37,0.62,2.21,3.2,5.23,2.26,3.74,4.32,2.59,6.28,6.92,3
HLT_mu11_nomucomb_mu6noL1_nscan03_L1LFV-MU_bTau_delayed,Tau,14.73,0,0,0,0,0,0,0,2.36,6.01,6.37,10
HLT_mu11_nomucomb_mu6noL1_nscan03_L1MU11_2MU6_bTau,Tau,16.61,0.62,1.47,2.28,3.34,0.94,1.25,1.45,0.86,2.09,2.31,8
HLT_mu11_nomucomb_mu6noL1_nscan03_L1MU11_2MU6_bTau_delayed,Tau,29.99,0,0,0,3.91,2.26,3.74,4.32,2.56,6.28,6.92,6
HLT_mu20_l2idonly_mu6noL1_nscan03_bTau,Tau,13.52,0.62,2.21,3.2,5.23,2.26,0,0,0,0,0,11
HLT_mu20_nomucomb_mu6noL1_nscan03_bTau,Tau,21.61,0,0,0,0,0,1.5,4.32,2.59,6.28,6.92,7
HLT_mu6_2mu4_bTau_noL2,Tau,11.75,0.62,2.21,3.2,5.23,0.48,0,0,0,0,0,12
