B_IDtrks_DCA B_IDtrks_DCA/D
B_IDtrks_deltaEta B_IDtrks_deltaEta/D
B_IDtrks_deltaPhi B_IDtrks_deltaPhi/D
B_MUCALC_mass B_MUCALC_mass/D
B_MUCALC_massErr B_MUCALC_massErr/D
B_PV_Ref_z B_PV_Ref_z/D
B_VTX_mass B_VTX_mass/D
B_VTX_massErr B_VTX_massErr/D
B_eta B_eta/D
B_fitChi2NDF B_fitChi2NDF/D
B_iso_7_Chi2_5_LoosePt05 B_iso_7_Chi2_5_LoosePt05/F
B_iso_7_Chi2_5_MedPt05 B_iso_7_Chi2_5_MedPt05/D
B_iso_Ntracks_7_Chi2_5_LoosePt05 B_iso_Ntracks_7_Chi2_5_LoosePt05/I
B_iso_Ntracks_7_Chi2_5_MedPt05 B_iso_Ntracks_7_Chi2_5_MedPt05/I
B_minChi2MuonsIPtoAnyPV B_minChi2MuonsIPtoAnyPV/D
B_pT B_pT/D
B_pT_error B_pT_error/D
B_phi B_phi/D
Bvtx3DIP Bvtx3DIP/D
BvtxDXSig BvtxDXSig/D
BvtxDXSig2D BvtxDXSig2D/D
CombWeights CombWeights/D
CoplanaritywithZ CoplanaritywithZ/D
DR DR/D
DecayCoplanarity DecayCoplanarity/D
Lxy Lxy/D
Lxy_err Lxy_err/D
Lxy_sig Lxy_sig/D
MuSignedd0SigMin MuSignedd0SigMin/D
Muon1_eta Muon1_eta/D
Muon1_pT Muon1_pT/D
Muon1_reco_eff_sf Muon1_reco_eff_sf/F
Muon2_eta Muon2_eta/D
Muon2_pT Muon2_pT/D
Muon2_reco_eff_sf Muon2_reco_eff_sf/F
Npv Npv/I
PRIVX_mu PRIVX_mu/F
PVWeights PVWeights/D
PlngMax2D PlngMax2D/D
PlngMin2D PlngMin2D/D
__index__ __index__/L
a_2D a_2D/D
a_3D a_3D/D
chi2_PVSV_log1Dz chi2_PVSV_log1Dz/D
chi2_PVSV_log2D chi2_PVSV_log2D/D
chi2_PVSV_log3D chi2_PVSV_log3D/D
closeTrkDCA closeTrkDCA/F
closeTrkDOCA closeTrkDOCA/D
closeTrkNtrksChi2 closeTrkNtrksChi2/I
closeTrkZCA closeTrkZCA/F
combined_weights combined_weights/D
d0Max d0Max/D
d0Max_err d0Max_err/D
d0Max_sig d0Max_sig/D
d0Min d0Min/D
d0Min_err d0Min_err/D
d0Min_sig d0Min_sig/D
event_number event_number/l
muM_iso_7_chi2_5_LoosePt05 muM_iso_7_chi2_5_LoosePt05/F
muM_iso_Ntracks_7_chi2_5_LoosePt05 muM_iso_Ntracks_7_chi2_5_LoosePt05/I
muP_iso_7_chi2_5_LoosePt05 muP_iso_7_chi2_5_LoosePt05/F
muP_iso_Ntracks_7_chi2_5_LoosePt05 muP_iso_Ntracks_7_chi2_5_LoosePt05/I
properTime properTime/D
properTime_sig properTime_sig/D
run_number run_number/i
testweight testweight/D
