BDT_bb_2016 BDT_bb_2016/D
B_IDtrk1_ExpBLayer B_IDtrk1_ExpBLayer/I
B_IDtrk1_ExpIBLayer B_IDtrk1_ExpIBLayer/I
B_IDtrk1_NBLayer B_IDtrk1_NBLayer/I
B_IDtrk1_NIBLayer B_IDtrk1_NIBLayer/I
B_IDtrk1_QoverP B_IDtrk1_QoverP/D
B_IDtrk1_charge B_IDtrk1_charge/I
B_IDtrk1_eta B_IDtrk1_eta/D
B_IDtrk1_nDeadPixels B_IDtrk1_nDeadPixels/I
B_IDtrk1_nDeadSCT B_IDtrk1_nDeadSCT/I
B_IDtrk1_nPIXHoles B_IDtrk1_nPIXHoles/I
B_IDtrk1_nPIXhits B_IDtrk1_nPIXhits/I
B_IDtrk1_nSCTHoles B_IDtrk1_nSCTHoles/I
B_IDtrk1_nSCThits B_IDtrk1_nSCThits/I
B_IDtrk1_nTRThits B_IDtrk1_nTRThits/I
B_IDtrk1_nTRToutliers B_IDtrk1_nTRToutliers/I
B_IDtrk1_pT B_IDtrk1_pT/D
B_IDtrk1_pass B_IDtrk1_pass/O
B_IDtrk1_phi B_IDtrk1_phi/D
B_IDtrk2_ExpBLayer B_IDtrk2_ExpBLayer/I
B_IDtrk2_ExpIBLayer B_IDtrk2_ExpIBLayer/I
B_IDtrk2_NBLayer B_IDtrk2_NBLayer/I
B_IDtrk2_NIBLayer B_IDtrk2_NIBLayer/I
B_IDtrk2_QoverP B_IDtrk2_QoverP/D
B_IDtrk2_charge B_IDtrk2_charge/I
B_IDtrk2_eta B_IDtrk2_eta/D
B_IDtrk2_nDeadPixels B_IDtrk2_nDeadPixels/I
B_IDtrk2_nDeadSCT B_IDtrk2_nDeadSCT/I
B_IDtrk2_nPIXHoles B_IDtrk2_nPIXHoles/I
B_IDtrk2_nPIXhits B_IDtrk2_nPIXhits/I
B_IDtrk2_nSCTHoles B_IDtrk2_nSCTHoles/I
B_IDtrk2_nSCThits B_IDtrk2_nSCThits/I
B_IDtrk2_nTRThits B_IDtrk2_nTRThits/I
B_IDtrk2_nTRToutliers B_IDtrk2_nTRToutliers/I
B_IDtrk2_pT B_IDtrk2_pT/D
B_IDtrk2_pass B_IDtrk2_pass/O
B_IDtrk2_phi B_IDtrk2_phi/D
B_IDtrk_Maxp B_IDtrk_Maxp/D
B_IDtrk_MaxpT B_IDtrk_MaxpT/D
B_IDtrk_Minp B_IDtrk_Minp/D
B_IDtrk_MinpT B_IDtrk_MinpT/D
B_IDtrk_etaMax B_IDtrk_etaMax/D
B_IDtrk_etaMin B_IDtrk_etaMin/D
B_IDtrks_DCA B_IDtrks_DCA/D
B_IDtrks_deltaEta B_IDtrks_deltaEta/D
B_IDtrks_deltaPhi B_IDtrks_deltaPhi/D
B_MUCALC_mass B_MUCALC_mass/F
B_MUCALC_massErr B_MUCALC_massErr/F
B_PV_Ref_cov_xx B_PV_Ref_cov_xx/D
B_PV_Ref_cov_xy B_PV_Ref_cov_xy/D
B_PV_Ref_cov_yy B_PV_Ref_cov_yy/D
B_PV_Ref_cov_yz B_PV_Ref_cov_yz/D
B_PV_Ref_cov_zx B_PV_Ref_cov_zx/D
B_PV_Ref_cov_zz B_PV_Ref_cov_zz/D
B_PV_Ref_x B_PV_Ref_x/D
B_PV_Ref_y B_PV_Ref_y/D
B_PV_Ref_z B_PV_Ref_z/D
B_VTX_mass B_VTX_mass/F
B_VTX_massErr B_VTX_massErr/F
B_eta B_eta/D
B_fitChi2 B_fitChi2/D
B_fitChi2NDF B_fitChi2NDF/D
B_fitNDF B_fitNDF/I
B_iso_7_Chi2_5_LoosePt05 B_iso_7_Chi2_5_LoosePt05/F
B_iso_7_Chi2_5_MedPt05 B_iso_7_Chi2_5_MedPt05/D
B_iso_Ntracks_7_Chi2_5_LoosePt05 B_iso_Ntracks_7_Chi2_5_LoosePt05/I
B_iso_Ntracks_7_Chi2_5_MedPt05 B_iso_Ntracks_7_Chi2_5_MedPt05/I
B_minChi2MuonsIPtoAnyPV B_minChi2MuonsIPtoAnyPV/D
B_mixes B_mixes/O
B_pT B_pT/D
B_pT_error B_pT_error/D
B_pT_sig B_pT_sig/D
B_phi B_phi/D
Bvtx3DIP Bvtx3DIP/D
BvtxDXSig BvtxDXSig/D
BvtxDXSig2D BvtxDXSig2D/D
CombWeights CombWeights/D
CoplanaritywithZ CoplanaritywithZ/D
DDW DDW/D
DR DR/D
DecayCoplanarity DecayCoplanarity/D
HLT_trigger HLT_trigger
L1_trigger L1_trigger
Lxy Lxy/D
Lxy_err Lxy_err/D
Lxy_sig Lxy_sig/D
MuSignedd0SigMin MuSignedd0SigMin/D
Muon1_InnerLargeHits Muon1_InnerLargeHits/I
Muon1_accept Muon1_accept/I
Muon1_accept_lowpt Muon1_accept_lowpt/I
Muon1_charge Muon1_charge/I
Muon1_e Muon1_e/D
Muon1_eLoss_fit Muon1_eLoss_fit/D
Muon1_eLoss_mes Muon1_eLoss_mes/D
Muon1_eLoss_par Muon1_eLoss_par/D
Muon1_eta Muon1_eta/D
Muon1_eta_orig Muon1_eta_orig/F
Muon1_etcone30 Muon1_etcone30/D
Muon1_etcone40 Muon1_etcone40/D
Muon1_extendedLargeHits Muon1_extendedLargeHits/I
Muon1_extendedSmallHits Muon1_extendedSmallHits/I
Muon1_fitChi2 Muon1_fitChi2/D
Muon1_fitNdof Muon1_fitNdof/D
Muon1_innerSmallHits Muon1_innerSmallHits/I
Muon1_isCombinedMuon Muon1_isCombinedMuon/O
Muon1_isLoose Muon1_isLoose/O
Muon1_isMedium Muon1_isMedium/O
Muon1_isStandAloneMuon Muon1_isStandAloneMuon/O
Muon1_isTight Muon1_isTight/O
Muon1_matchChi2 Muon1_matchChi2/D
Muon1_matchChi2OverDoF Muon1_matchChi2OverDoF/D
Muon1_middleLargeHits Muon1_middleLargeHits/I
Muon1_middleSmallHits Muon1_middleSmallHits/I
Muon1_momentumBalanceSignificance Muon1_momentumBalanceSignificance/F
Muon1_nprecisionHoleLayers Muon1_nprecisionHoleLayers/I
Muon1_nprecisionLayers Muon1_nprecisionLayers/I
Muon1_outerLargeHits Muon1_outerLargeHits/I
Muon1_outerSmallHits Muon1_outerSmallHits/I
Muon1_pT Muon1_pT/D
Muon1_pT_orig Muon1_pT_orig/F
Muon1_phi Muon1_phi/D
Muon1_phi_orig Muon1_phi_orig/F
Muon1_px Muon1_px/D
Muon1_py Muon1_py/D
Muon1_pz Muon1_pz/D
Muon1_reco_eff_sf Muon1_reco_eff_sf/F
Muon1_reco_eff_sf_down Muon1_reco_eff_sf_down/F
Muon1_reco_eff_sf_up Muon1_reco_eff_sf_up/F
Muon1_scatteringCurvatureSignificance Muon1_scatteringCurvatureSignificance/F
Muon1_scatteringNeighbourSignificance Muon1_scatteringNeighbourSignificance/F
Muon1_trigger_sf Muon1_trigger_sf/F
Muon1_trkComb_pT Muon1_trkComb_pT/D
Muon1_trkComb_qoverp Muon1_trkComb_qoverp/D
Muon1_trkMS_pT Muon1_trkMS_pT/D
Muon1_trkMS_qoverp Muon1_trkMS_qoverp/D
Muon1_trkMuonExtr_pT Muon1_trkMuonExtr_pT/D
Muon1_trkMuonExtr_qoverp Muon1_trkMuonExtr_qoverp/D
Muon2_InnerLargeHits Muon2_InnerLargeHits/I
Muon2_accept Muon2_accept/I
Muon2_accept_lowpt Muon2_accept_lowpt/I
Muon2_charge Muon2_charge/I
Muon2_e Muon2_e/D
Muon2_eLoss_fit Muon2_eLoss_fit/D
Muon2_eLoss_mes Muon2_eLoss_mes/D
Muon2_eLoss_par Muon2_eLoss_par/D
Muon2_eta Muon2_eta/D
Muon2_eta_orig Muon2_eta_orig/F
Muon2_etcone30 Muon2_etcone30/D
Muon2_etcone40 Muon2_etcone40/D
Muon2_extendedLargeHits Muon2_extendedLargeHits/I
Muon2_extendedSmallHits Muon2_extendedSmallHits/I
Muon2_fitChi2 Muon2_fitChi2/D
Muon2_fitNdof Muon2_fitNdof/D
Muon2_innerSmallHits Muon2_innerSmallHits/I
Muon2_isCombinedMuon Muon2_isCombinedMuon/O
Muon2_isLoose Muon2_isLoose/O
Muon2_isMedium Muon2_isMedium/O
Muon2_isStandAloneMuon Muon2_isStandAloneMuon/O
Muon2_isTight Muon2_isTight/O
Muon2_matchChi2 Muon2_matchChi2/D
Muon2_matchChi2OverDoF Muon2_matchChi2OverDoF/D
Muon2_middleLargeHits Muon2_middleLargeHits/I
Muon2_middleSmallHits Muon2_middleSmallHits/I
Muon2_momentumBalanceSignificance Muon2_momentumBalanceSignificance/F
Muon2_nprecisionHoleLayers Muon2_nprecisionHoleLayers/I
Muon2_nprecisionLayers Muon2_nprecisionLayers/I
Muon2_outerLargeHits Muon2_outerLargeHits/I
Muon2_outerSmallHits Muon2_outerSmallHits/I
Muon2_pT Muon2_pT/D
Muon2_pT_orig Muon2_pT_orig/F
Muon2_phi Muon2_phi/D
Muon2_phi_orig Muon2_phi_orig/F
Muon2_px Muon2_px/D
Muon2_py Muon2_py/D
Muon2_pz Muon2_pz/D
Muon2_reco_eff_sf Muon2_reco_eff_sf/F
Muon2_reco_eff_sf_down Muon2_reco_eff_sf_down/F
Muon2_reco_eff_sf_up Muon2_reco_eff_sf_up/F
Muon2_scatteringCurvatureSignificance Muon2_scatteringCurvatureSignificance/F
Muon2_scatteringNeighbourSignificance Muon2_scatteringNeighbourSignificance/F
Muon2_trigger_sf Muon2_trigger_sf/F
Muon2_trkComb_pT Muon2_trkComb_pT/D
Muon2_trkComb_qoverp Muon2_trkComb_qoverp/D
Muon2_trkMS_pT Muon2_trkMS_pT/D
Muon2_trkMS_qoverp Muon2_trkMS_qoverp/D
Muon2_trkMuonExtr_pT Muon2_trkMuonExtr_pT/D
Muon2_trkMuonExtr_qoverp Muon2_trkMuonExtr_qoverp/D
Npv Npv/I
PRIVX_mu PRIVX_mu/F
PVWeights PVWeights/D
PVWeights_down PVWeights_down/D
PVWeights_up PVWeights_up/D
PlngMax2D PlngMax2D/D
PlngMax3D PlngMax3D/D
PlngMin2D PlngMin2D/D
PlngMin3D PlngMin3D/D
TRUTH_B_PDGID TRUTH_B_PDGID/I
TRUTH_B_eta TRUTH_B_eta/D
TRUTH_B_mass TRUTH_B_mass/D
TRUTH_B_pT TRUTH_B_pT/D
TRUTH_B_phi TRUTH_B_phi/D
TRUTH_B_vtx_x TRUTH_B_vtx_x/D
TRUTH_B_vtx_y TRUTH_B_vtx_y/D
TRUTH_MuMinus_PDGID TRUTH_MuMinus_PDGID/I
TRUTH_MuMinus_eta TRUTH_MuMinus_eta/D
TRUTH_MuMinus_mass TRUTH_MuMinus_mass/D
TRUTH_MuMinus_pT TRUTH_MuMinus_pT/D
TRUTH_MuMinus_phi TRUTH_MuMinus_phi/D
TRUTH_MuPlus_PDGID TRUTH_MuPlus_PDGID/I
TRUTH_MuPlus_eta TRUTH_MuPlus_eta/D
TRUTH_MuPlus_mass TRUTH_MuPlus_mass/D
TRUTH_MuPlus_pT TRUTH_MuPlus_pT/D
TRUTH_MuPlus_phi TRUTH_MuPlus_phi/D
TRUTH_pv_x TRUTH_pv_x/F
TRUTH_pv_y TRUTH_pv_y/F
TRUTH_pv_z TRUTH_pv_z/F
Trigger_Matched Trigger_Matched/O
a_2D a_2D/D
a_3D a_3D/D
chi2_PVSV_log1Dz chi2_PVSV_log1Dz/D
chi2_PVSV_log2D chi2_PVSV_log2D/D
chi2_PVSV_log3D chi2_PVSV_log3D/D
closeTrkDCA closeTrkDCA/F
closeTrkDCAErr closeTrkDCAErr/F
closeTrkDOCA closeTrkDOCA/D
closeTrkNtrksChi2 closeTrkNtrksChi2/I
closeTrkZCA closeTrkZCA/F
closeTrkZCAErr closeTrkZCAErr/F
d0Max d0Max/D
d0Max_err d0Max_err/D
d0Max_sig d0Max_sig/D
d0Min d0Min/D
d0Min_err d0Min_err/D
d0Min_sig d0Min_sig/D
event_index event_index/I
event_number event_number/l
evt_wt evt_wt/F
hasTruthB hasTruthB/O
isSignal isSignal/I
lumi_block lumi_block/I
muM_iso_7_chi2_5_LoosePt05 muM_iso_7_chi2_5_LoosePt05/F
muM_iso_7_chi2_5_medPt05 muM_iso_7_chi2_5_medPt05/D
muM_iso_Ntracks_7_chi2_5_LoosePt05 muM_iso_Ntracks_7_chi2_5_LoosePt05/I
muM_iso_Ntracks_7_chi2_5_medPt05 muM_iso_Ntracks_7_chi2_5_medPt05/I
muP_iso_7_chi2_5_LoosePt05 muP_iso_7_chi2_5_LoosePt05/F
muP_iso_7_chi2_5_medPt05 muP_iso_7_chi2_5_medPt05/D
muP_iso_Ntracks_7_chi2_5_LoosePt05 muP_iso_Ntracks_7_chi2_5_LoosePt05/I
muP_iso_Ntracks_7_chi2_5_medPt05 muP_iso_Ntracks_7_chi2_5_medPt05/I
nphotons_b nphotons_b/I
properTime properTime/D
properTime_err properTime_err/D
properTime_sig properTime_sig/D
pvtx_match pvtx_match/I
run_number run_number/i
trigger_category trigger_category/I
