BS_z BS_z/F
PVWeights PVWeights/D
b_status b_status
ev_processed ev_processed/O
event_number event_number/l
idtrk_ExpBLayer idtrk_ExpBLayer
idtrk_ExpIBLayer idtrk_ExpIBLayer
idtrk_NBLayer idtrk_NBLayer
idtrk_NIBLayer idtrk_NIBLayer
idtrk_charge idtrk_charge
idtrk_chiSquared idtrk_chiSquared
idtrk_d0 idtrk_d0
idtrk_eta idtrk_eta
idtrk_isLoose idtrk_isLoose
idtrk_mintrksChi2 idtrk_mintrksChi2
idtrk_nDeadPixels idtrk_nDeadPixels
idtrk_nDeadSCT idtrk_nDeadSCT
idtrk_nPIXHoles idtrk_nPIXHoles
idtrk_nPIXSharedhits idtrk_nPIXSharedhits
idtrk_nPIXhits idtrk_nPIXhits
idtrk_nSCTHoles idtrk_nSCTHoles
idtrk_nSCTSharedhits idtrk_nSCTSharedhits
idtrk_nSCThits idtrk_nSCThits
idtrk_nTRThits idtrk_nTRThits
idtrk_nTRToutliers idtrk_nTRToutliers
idtrk_numberDoF idtrk_numberDoF
idtrk_phi idtrk_phi
idtrk_pvidx idtrk_pvidx
idtrk_pvidx_custom idtrk_pvidx_custom
idtrk_pvidx_loose idtrk_pvidx_loose
idtrk_pvidx_nominal idtrk_pvidx_nominal
idtrk_pvidx_tight idtrk_pvidx_tight
idtrk_pvtype idtrk_pvtype
idtrk_px idtrk_px
idtrk_py idtrk_py
idtrk_pz idtrk_pz
idtrk_qOverP idtrk_qOverP
idtrk_theta idtrk_theta
idtrk_z0 idtrk_z0
ncandidates ncandidates/I
pv_OrigNTracks pv_OrigNTracks
pv_OrigSqrtPt2Sum pv_OrigSqrtPt2Sum
pv_ntrks pv_ntrks
pv_sigma_z pv_sigma_z
pv_type pv_type
pv_z pv_z
run_number run_number/i
