B_IDtrk1_ExpBLayer B_IDtrk1_ExpBLayer/I
B_IDtrk1_ExpIBLayer B_IDtrk1_ExpIBLayer/I
B_IDtrk1_NBLayer B_IDtrk1_NBLayer/I
B_IDtrk1_NIBLayer B_IDtrk1_NIBLayer/I
B_IDtrk1_QoverP B_IDtrk1_QoverP/D
B_IDtrk1_charge B_IDtrk1_charge/I
B_IDtrk1_eta B_IDtrk1_eta/D
B_IDtrk1_nDeadPixels B_IDtrk1_nDeadPixels/I
B_IDtrk1_nDeadSCT B_IDtrk1_nDeadSCT/I
B_IDtrk1_nPIXHoles B_IDtrk1_nPIXHoles/I
B_IDtrk1_nPIXhits B_IDtrk1_nPIXhits/I
B_IDtrk1_nSCTHoles B_IDtrk1_nSCTHoles/I
B_IDtrk1_nSCThits B_IDtrk1_nSCThits/I
B_IDtrk1_nTRThits B_IDtrk1_nTRThits/I
B_IDtrk1_nTRToutliers B_IDtrk1_nTRToutliers/I
B_IDtrk1_pT B_IDtrk1_pT/D
B_IDtrk1_pass B_IDtrk1_pass/O
B_IDtrk1_phi B_IDtrk1_phi/D
B_IDtrk1_trkidx B_IDtrk1_trkidx/I
B_IDtrk2_ExpBLayer B_IDtrk2_ExpBLayer/I
B_IDtrk2_ExpIBLayer B_IDtrk2_ExpIBLayer/I
B_IDtrk2_NBLayer B_IDtrk2_NBLayer/I
B_IDtrk2_NIBLayer B_IDtrk2_NIBLayer/I
B_IDtrk2_QoverP B_IDtrk2_QoverP/D
B_IDtrk2_charge B_IDtrk2_charge/I
B_IDtrk2_eta B_IDtrk2_eta/D
B_IDtrk2_nDeadPixels B_IDtrk2_nDeadPixels/I
B_IDtrk2_nDeadSCT B_IDtrk2_nDeadSCT/I
B_IDtrk2_nPIXHoles B_IDtrk2_nPIXHoles/I
B_IDtrk2_nPIXhits B_IDtrk2_nPIXhits/I
B_IDtrk2_nSCTHoles B_IDtrk2_nSCTHoles/I
B_IDtrk2_nSCThits B_IDtrk2_nSCThits/I
B_IDtrk2_nTRThits B_IDtrk2_nTRThits/I
B_IDtrk2_nTRToutliers B_IDtrk2_nTRToutliers/I
B_IDtrk2_pT B_IDtrk2_pT/D
B_IDtrk2_pass B_IDtrk2_pass/O
B_IDtrk2_phi B_IDtrk2_phi/D
B_IDtrk2_trkidx B_IDtrk2_trkidx/I
B_IDtrk_Maxp B_IDtrk_Maxp/D
B_IDtrk_MaxpT B_IDtrk_MaxpT/D
B_IDtrk_Minp B_IDtrk_Minp/D
B_IDtrk_MinpT B_IDtrk_MinpT/D
B_IDtrk_etaMax B_IDtrk_etaMax/D
B_IDtrk_etaMin B_IDtrk_etaMin/D
B_IDtrks_DCA B_IDtrks_DCA/D
B_IDtrks_deltaEta B_IDtrks_deltaEta/D
B_IDtrks_deltaPhi B_IDtrks_deltaPhi/D
B_MUCALC_mass B_MUCALC_mass/F
B_MUCALC_massErr B_MUCALC_massErr/F
B_PV_Ref_cov_xx B_PV_Ref_cov_xx/F
B_PV_Ref_cov_xy B_PV_Ref_cov_xy/F
B_PV_Ref_cov_yy B_PV_Ref_cov_yy/F
B_PV_Ref_cov_yz B_PV_Ref_cov_yz/F
B_PV_Ref_cov_zx B_PV_Ref_cov_zx/F
B_PV_Ref_cov_zz B_PV_Ref_cov_zz/F
B_PV_Ref_x B_PV_Ref_x/F
B_PV_Ref_y B_PV_Ref_y/F
B_PV_Ref_z B_PV_Ref_z/F
B_PV_idx B_PV_idx/I
B_PV_trksChi2 B_PV_trksChi2
B_PV_type B_PV_type/I
B_VTX_mass B_VTX_mass/F
B_VTX_massErr B_VTX_massErr/F
B_VTX_trksChi2 B_VTX_trksChi2
B_VTX_trksChi2trkspart B_VTX_trksChi2trkspart
B_cIDtrk_eta_T0000000035_LoosePt05_201516 B_cIDtrk_eta_T0000000035_LoosePt05_201516/D
B_cIDtrk_eta_T0008388608_LooSiHi1Pt05_f2dc2 B_cIDtrk_eta_T0008388608_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_eta_T0134217728_LooSiHi1Pt05_f2dc2 B_cIDtrk_eta_T0134217728_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_pT_T0000000035_LoosePt05_201516 B_cIDtrk_pT_T0000000035_LoosePt05_201516/D
B_cIDtrk_pT_T0008388608_LooSiHi1Pt05_f2dc2 B_cIDtrk_pT_T0008388608_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_pT_T0134217728_LooSiHi1Pt05_f2dc2 B_cIDtrk_pT_T0134217728_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_phi_T0000000035_LoosePt05_201516 B_cIDtrk_phi_T0000000035_LoosePt05_201516/D
B_cIDtrk_phi_T0008388608_LooSiHi1Pt05_f2dc2 B_cIDtrk_phi_T0008388608_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_phi_T0134217728_LooSiHi1Pt05_f2dc2 B_cIDtrk_phi_T0134217728_LooSiHi1Pt05_f2dc2/D
B_cIDtrk_trkidx_T0000000035_LoosePt05_201516 B_cIDtrk_trkidx_T0000000035_LoosePt05_201516/I
B_cIDtrk_trkidx_T0008388608_LooSiHi1Pt05_f2dc2 B_cIDtrk_trkidx_T0008388608_LooSiHi1Pt05_f2dc2/I
B_cIDtrk_trkidx_T0134217728_LooSiHi1Pt05_f2dc2 B_cIDtrk_trkidx_T0134217728_LooSiHi1Pt05_f2dc2/I
B_cov_xx B_cov_xx/F
B_cov_xy B_cov_xy/F
B_cov_yy B_cov_yy/F
B_cov_yz B_cov_yz/F
B_cov_zx B_cov_zx/F
B_cov_zz B_cov_zz/F
B_eta B_eta/D
B_fitChi2 B_fitChi2/D
B_fitChi2NDF B_fitChi2NDF/D
B_fitNDF B_fitNDF/I
B_iso_10_noChi2_LooSiHi1Pt05_T0008388608 B_iso_10_noChi2_LooSiHi1Pt05_T0008388608/F
B_iso_10_noChi2_LooSiHi1Pt05_T0134217728 B_iso_10_noChi2_LooSiHi1Pt05_T0134217728/F
B_iso_7_Chi2_5_LoosePt05 B_iso_7_Chi2_5_LoosePt05/F
B_iso_7_Chi2_5_MedPt05 B_iso_7_Chi2_5_MedPt05/D
B_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127 B_iso_7_Chi2_5_noAbs_LooSiHi1Pt05_T0000000127/F
B_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608 B_iso_Ntracks_10_noChi2_LooSiHi1Pt05_T0008388608/I
